,Date,Close,High,Low,Open,Volume,k,d,macd,macdsignal,macdhist,upperband,middleband,lowerband,rsi,adx,+di,-di,TAS,TBC,EveningStar,MorningStar,Engulfing
14,2024-10-21,236.22010803222656,236.5897117727769,234.19234018879644,234.19234018879644,36254500,68.72580437019529,59.28172890447642,,,,237.10274949007626,233.5949951171875,230.08724074429873,66.65581571416114,,32.83782859382991,10.969176976455467,0,0,0,0,100
15,2024-10-22,235.60079956054688,235.96040454410334,232.3443876620224,233.6329632952546,38846600,81.55520104552745,68.32150291198046,,,,237.85374768655515,233.99655456542968,230.1393614443042,65.24286056325806,,30.360800502976698,13.738370995436478,0,0,0,0,0
16,2024-10-23,230.5063934326172,234.88158476901867,227.50969037853835,233.822752128634,52287000,68.5593237038215,72.94677637318142,,,,238.21669385757122,233.79277954101562,229.36886522446002,54.92816035407502,,25.958528439691587,20.41045563220246,0,0,0,0,0
17,2024-10-24,230.31661987304688,230.56634513279107,228.15898997077215,229.7272566761152,31109500,49.93128592341088,66.68193689091994,,,,238.57200703586386,233.4771301269531,228.38225321804237,54.58198213328994,,24.806036673949,19.50428400133295,0,0,0,0,0
18,2024-10-25,231.1556854248047,232.96369380669327,229.3177112321018,229.4875225740561,38802300,34.69018109307419,51.06026357343552,,,,237.94953889745608,232.75992126464843,227.57030363184077,55.90521650409678,,27.570928517820175,18.18728699799555,0,0,0,0,0
19,2024-10-28,233.14349365234375,234.472033847566,232.29443692443334,233.06359498314518,36087100,45.911292365840744,43.510919794108595,,,,236.1392235846057,232.14459838867188,228.14997319273806,58.95606645205306,,28.68212261652116,17.05895368203817,0,0,0,0,0
20,2024-10-29,233.41319274902344,234.07247106119948,232.06468555632105,232.84382710997653,35417200,62.300613815430474,47.63402909144846,,,,234.33814805821154,231.7070770263672,229.07600599452283,59.36684136144952,,27.56705374978739,16.840624343788686,0,0,0,0,0
21,2024-10-30,229.8471221923828,233.21341362628857,229.29772360355057,232.35435817157438,47070900,57.829396777959936,55.347100986410375,,,,234.48507248533386,231.57522277832032,228.6653730713068,51.9616991991121,,25.38828801043776,20.823408900662468,0,0,0,0,0
22,2024-10-31,225.66172790527344,229.57741798472995,225.1223128313268,229.08795100904055,64370100,37.530304665835054,52.55343841974181,,,,236.27528465390995,230.6442443847656,225.01320411562128,44.88512555048344,,23.128264992117522,26.8364759494768,0,0,0,0,0
23,2024-11-01,222.66502380371094,225.10234466312102,220.02792579428782,220.72715344034327,65276700,16.922319873826634,37.4273404392072,,,,237.3662731198962,228.94611206054688,220.52595100119757,40.61964489016655,,20.755696595574122,33.359620989070564,0,0,0,0,0
24,2024-11-04,221.76600646972656,222.54514803369162,219.46854635353304,220.74713841963055,44944500,13.252791373081246,22.568471970914302,,,,235.46471953501046,226.67061462402344,217.87650971303643,39.40966767542432,,19.531460589631976,32.42416327060721,0,0,0,0,0
25,2024-11-05,223.2044219970703,223.70387248945224,220.896963160989,221.5562414690178,28111300,20.38973584595708,16.85494903095498,,,,230.45148414232744,224.6288604736328,218.80623680493818,42.36773295358969,,20.680538242252887,30.7111327817705,0,0,0,0,0
26,2024-11-06,222.47523498535156,225.82155947797517,220.94691765378838,222.36535526416637,54561100,24.218339552144243,19.286955590394182,,,,225.825450821451,223.15448303222655,220.4835152430021,41.26782770823907,,22.72741182062926,27.949480100000766,0,0,0,0,0
27,2024-11-07,227.22999572753906,227.629565273657,224.32320539488208,224.38313701629485,42137700,50.675715054477756,31.76126348419302,,,,227.34103940955984,223.4681365966797,219.59523378379956,50.32393679713717,19.989158916228256,23.874551884019173,25.353369846433583,0,0,0,0,0
28,2024-11-08,226.9600067138672,228.66000366210938,226.41000366210938,227.1699981689453,38328800,68.78386425276337,47.89263961979511,,,,228.94085283772372,224.32713317871094,219.71341351969815,49.853862505579144,18.63400245127889,24.7917792760056,24.292606579119862,0,0,0,0,0
29,2024-11-11,224.22999572753906,225.6999969482422,221.5,225.0,42005600,73.18105071884732,64.21354334202947,,,,228.7025928406685,224.81993103027344,220.93726921987837,45.251047552850295,18.434545544586616,22.34822922144128,30.76169385306183,0,0,0,0,0
30,2024-11-12,224.22999572753906,225.58999633789062,223.36000061035156,224.5500030517578,40398300,55.668088496612626,65.87766782274109,,,,228.64406468729533,225.0250457763672,221.40602686543906,45.2510475528503,18.249335559800933,21.419644898446013,29.48352427740134,0,0,0,0,0
31,2024-11-13,225.1199951171875,226.64999389648438,222.75999450683594,224.00999450683594,48566200,45.352744106535845,58.06729444066525,,,,228.1586323526746,225.5539978027344,222.94936325279417,47.097736043831105,17.745477658926404,21.841739420627164,27.348777650076155,0,0,0,0,100
32,2024-11-14,228.22000122070312,228.8699951171875,225.0,225.02000427246094,44923900,61.434714181941125,54.15184892836319,,,,228.92472447144692,225.7519989013672,222.57927333128745,53.0394109732527,16.618706992008313,24.39898069402632,25.379968635310252,0,0,0,0,0
33,2024-11-15,225.0,226.9199981689453,224.27000427246094,226.39999389648438,47923700,63.0763195126118,56.62125926702958,-0.7700808431238215,-0.40885236992169716,-0.36122847320212437,228.31575514509325,225.35999755859376,222.40423997209427,47.11952060817317,15.772253208463463,22.609879356914224,24.874082775227794,0,0,0,0,0
34,2024-11-18,228.02000427246094,229.74000549316406,225.1699981689453,225.25,44686000,71.342860286935,65.28463132716263,-0.6003641108008253,-0.4471547180975228,-0.15320939270330253,229.44624532377858,226.1179992675781,222.78975321137764,52.476939195743,15.099270674621666,25.802499431342884,22.72101476172575,0,0,0,0,0
35,2024-11-19,228.27999877929688,230.16000366210938,226.66000366210938,226.97999572753906,36211800,65.81420086691908,66.74446022215528,-0.4398131021870597,-0.44568639491543016,0.0058732927283704495,229.9842337486758,226.9279998779297,223.8717660071836,52.91916658483257,14.586317250780747,24.913636349795638,21.257816393272037,0,0,0,0,0
36,2024-11-20,229.0,229.92999267578125,225.88999938964844,228.05999755859375,35169600,76.7527620096302,71.30327438782808,-0.25157716498699756,-0.40686454892974366,0.1552873839427461,230.4881161615466,227.7040008544922,224.9198855474378,54.19047455332816,13.863423367791047,23.06706888508672,21.09488315507167,0,0,0,0,0
37,2024-11-21,228.52000427246094,230.16000366210938,225.7100067138672,228.8800048828125,42108300,75.68543432133005,72.75079906595977,-0.1395221478392159,-0.3533960687116381,0.21387392087242219,230.60241332892826,227.76400146484374,224.92558960075922,53.15989955772391,13.26166991638434,21.620610999202437,19.390090204390532,0,0,0,0,0
38,2024-11-22,229.8699951171875,230.72000122070312,228.05999755859375,228.05999755859375,38168300,79.04877535154061,77.16232389416695,0.05755181785690411,-0.2712064913979296,0.32875830925483374,230.04118491590967,228.73800048828124,227.43481606065282,55.7110172084135,12.878588809134063,21.5925178060359,18.43122843505862,0,0,0,0,100
39,2024-11-25,232.8699951171875,233.25,229.74000549316406,231.4600067138672,90152800,83.93364350305771,79.55595105864278,0.45061487567744507,-0.1268422179828547,0.5774570936602997,233.0517977988105,229.70799865722657,226.36419951564264,60.81810393559849,13.261909185970618,24.907438471285307,17.2210622955427,0,0,0,0,0
40,2024-11-26,235.05999755859375,235.57000732421875,233.3300018310547,233.3300018310547,45986200,91.49073785741473,84.824385570671,0.9281361000572588,0.08415344562516802,0.8439826544320908,236.07496820134048,231.06399841308593,226.05302862483137,64.07485170549029,14.200996726107858,28.05513756301728,16.332695039381147,0,0,0,0,0
41,2024-11-27,234.92999267578125,235.69000244140625,233.80999755859375,234.47000122070312,33498400,94.05743295545538,89.8272714386426,1.281314605998773,0.32358567769988905,0.9577289282988839,237.54453242070596,232.2499969482422,226.95546147577843,63.736175702162555,15.102082815373695,27.24802225546653,15.724439986636957,0,0,0,0,0
42,2024-11-29,237.3300018310547,237.80999755859375,233.97000122070312,234.80999755859375,28481400,94.09637426941765,93.21484836076259,1.7348732585844573,0.6058431938768027,1.1290300647076545,239.02482202549095,234.01199645996093,228.9991708944309,67.18454064976038,16.43657348417866,29.365069264895766,14.533842812576983,0,0,0,0,0
